method,sample_id,seed,budget_fraction,selected_count,pressure_field_relative_l2
pi,2265,7,0.75,8453,0.002633394470597546
pi,2265,8,0.375,4227,0.0038668788304189253
pi,2265,8,0.5,5636,0.002874696940964756
pi,2265,8,0.75,8453,0.0025992138878534
pi,1661,6,0.375,4227,0.01290831578149101
pi,1661,6,0.5,5636,0.010252130838185837
pi,1661,6,0.75,8453,0.009942654703501487
pi,1661,7,0.375,4227,0.010223613052409307
pi,1661,7,0.5,5636,0.009941381186070965
pi,1661,7,0.75,8453,0.010474136868216724
pi,1661,8,0.375,4227,0.008553848107576305
pi,1661,8,0.5,5636,0.009368216521998424
pi,1661,8,0.75,8453,0.010244207035478452
pi,2031,6,0.375,4227,0.005411800224436374
pi,2031,6,0.5,5636,0.00320018266745731
pi,2031,6,0.75,8453,0.0027032640399098826
pi,2031,7,0.375,4227,0.003668266350470882
pi,2031,7,0.5,5636,0.002474023779975802
pi,2031,7,0.75,8453,0.002975033320209932
pi,2031,8,0.375,4227,0.003945972814742889
pi,2031,8,0.5,5636,0.003495827309716342
pi,2031,8,0.75,8453,0.0032586260686707003
uniform,1640,6,0.375,4227,0.01246432738200519
uniform,1640,6,0.5,5636,0.01035486068692512
uniform,1640,6,0.75,8453,0.007592122345515087
uniform,1640,7,0.375,4227,0.015349256353985158
uniform,1640,7,0.5,5636,0.007575728969456408
uniform,1640,7,0.75,8453,0.007109703120247012
uniform,1640,8,0.375,4227,0.027401516192763455
uniform,1640,8,0.5,5636,0.01843918008639483
uniform,1640,8,0.75,8453,0.00910048460571554
uniform,2067,6,0.375,4227,0.010505673486792362
uniform,2067,6,0.5,5636,0.007736016521137122
uniform,2067,6,0.75,8453,0.005797334317124214
uniform,2067,7,0.375,4227,0.01902985457116629
uniform,2067,7,0.5,5636,0.014200187307887776
uniform,2067,7,0.75,8453,0.004108590157401045
uniform,2067,8,0.375,4227,0.01115254945397041
uniform,2067,8,0.5,5636,0.007585147587129147
