benchmark,budget,method,mode,metric,cases,mean,case_std
shapenet_car,0.5,pi,original,field_error,9,0.07902362170351068,0.005546766720018006
shapenet_car,0.5,pi,fast,velocity_rel_l2,9,0.043455805840271165,0.0028067716633886613
shapenet_car,0.5,pi,fast,pressure_rel_l2,9,0.07113563172647903,0.013281549446971774
shapenet_car,0.5,pi,fast,field_error,9,0.07902362170351068,0.005546766720018006
shapenet_car,0.5,pi,previous_runtime,velocity_rel_l2,9,0.043455805840271165,0.0028067716633886613
shapenet_car,0.5,pi,previous_runtime,pressure_rel_l2,9,0.07113563172647903,0.013281549446971774
shapenet_car,0.5,pi,previous_runtime,field_error,9,0.07902362170351068,0.005546766720018006
shapenet_car,0.5,cpg,original,velocity_rel_l2,9,0.03375208741265249,0.0006312730120875258
shapenet_car,0.5,cpg,original,pressure_rel_l2,9,0.07436828529441501,0.019922952290642747
shapenet_car,0.5,cpg,original,field_error,9,0.07093623005986,0.009827102944198255
shapenet_car,0.5,cpg,fast,velocity_rel_l2,9,0.03375208741265249,0.0006312730120875258
shapenet_car,0.5,cpg,fast,pressure_rel_l2,9,0.07436828529441501,0.019922952290642747
shapenet_car,0.5,cpg,fast,field_error,9,0.07093623005986,0.009827102944198255
shapenet_car,0.5,cpg,previous_runtime,velocity_rel_l2,9,0.03612882535322873,0.0011493361574721377
shapenet_car,0.5,cpg,previous_runtime,pressure_rel_l2,9,0.07617583697282077,0.019501153670268
shapenet_car,0.5,cpg,previous_runtime,field_error,9,0.07421674383963911,0.010730023989174551
shapenet_car,0.5,ca,original,velocity_rel_l2,9,0.03370171789274149,0.0006601458901102317
shapenet_car,0.5,ca,original,pressure_rel_l2,9,0.07446551357851842,0.0199639130639487
shapenet_car,0.5,ca,original,field_error,9,0.0709344746820007,0.00990034557884676
shapenet_car,0.5,ca,fast,velocity_rel_l2,9,0.03370171789274149,0.0006601458901102317
shapenet_car,0.5,ca,fast,pressure_rel_l2,9,0.07446551357851842,0.0199639130639487
shapenet_car,0.5,ca,fast,field_error,9,0.0709344746820007,0.00990034557884676
shapenet_car,0.5,ca,previous_runtime,velocity_rel_l2,9,0.03609131957410087,0.0011746605891745931
shapenet_car,0.5,ca,previous_runtime,pressure_rel_l2,9,0.07633478666141891,0.019537409387817863
shapenet_car,0.5,ca,previous_runtime,field_error,9,0.07425871290481033,0.010756208913538673
shapenet_car,0.75,uniform,original,velocity_rel_l2,9,0.04392400118448942,0.005978848307872419
shapenet_car,0.75,uniform,original,pressure_rel_l2,9,0.11326101203747213,0.0225335499436503
shapenet_car,0.75,uniform,original,field_error,9,0.1005545072032255,0.010076128333860056
shapenet_car,0.75,uniform,fast,velocity_rel_l2,9,0.04392400118448942,0.005978848307872419
shapenet_car,0.75,uniform,fast,pressure_rel_l2,9,0.11326101203747213,0.0225335499436503
shapenet_car,0.75,uniform,fast,field_error,9,0.1005545072032255,0.010076128333860056
