benchmark,budget,method,stage,cases,mean_ms,case_std_ms,repeat_std_ms,repeats_per_case_min,repeats_per_case_max
pipe,1.0,full,density_sampling_compensation_ms,3,0.0,0.0,0.0,5,5
pipe,1.0,full,fine_ms,3,7.380504409472148,0.003497498182504158,0.008023574719414384,5,5
pipe,1.0,full,decode_ms,3,0.028953949610392254,0.0024082089887377017,0.0022573804290447618,5,5
pipe,1.0,full,sampled_export_ms,3,0.03344068924585978,0.0021739207662634747,0.0016601915492469531,5,5
pipe,1.0,full,reconstruction_original_ms,3,0.007197757562001546,0.0002528869447265741,0.0007313609231556134,5,5
pipe,1.0,full,full_export_original_ms,3,0.02805789311726888,0.0007353905474153131,0.001315535691079026,5,5
pipe,1.0,full,reconstruction_fast_ms,3,0.00667572021484375,6.994027914226852e-05,0.00015989554679668113,5,5
pipe,1.0,full,full_export_fast_ms,3,0.02791782220204671,0.00045244679501701404,0.0008678567277527474,5,5
elasticity,0.375,uniform,coarse_ms,9,0.0,0.0,0.0,5,5
elasticity,0.375,uniform,density_sampling_compensation_ms,9,0.0,0.0,0.0,5,5
elasticity,0.375,uniform,fine_ms,9,1.0335091087553236,0.015655656998385965,0.0059177969375481445,5,5
elasticity,0.375,uniform,decode_ms,9,0.02899931536780463,0.004068137731129462,0.0030431814135023823,5,5
elasticity,0.375,uniform,sampled_export_ms,9,0.045051508479648165,0.005852594206355641,0.0039048872077675546,5,5
elasticity,0.375,uniform,reconstruction_original_ms,9,0.07444371779759724,0.003443747573943583,0.002128514955181158,5,5
elasticity,0.375,uniform,full_export_original_ms,9,0.026069415940178767,0.001124068293263258,0.0006150202440057925,5,5
elasticity,0.375,uniform,reconstruction_fast_ms,9,0.06887399488025242,0.0016073194198122228,0.001297954676037465,5,5
elasticity,0.375,uniform,full_export_fast_ms,9,0.023928946918911405,0.0006281312758685845,0.0010880237378363387,5,5
elasticity,0.375,pi,coarse_ms,9,0.0,0.0,0.0,5,5
elasticity,0.375,pi,density_sampling_compensation_ms,9,0.0,0.0,0.0,5,5
elasticity,0.375,pi,fine_ms,9,1.0078069236543443,0.01128610229865027,0.007676446396793962,5,5
elasticity,0.375,pi,decode_ms,9,0.024984114699893527,0.002050042260813274,0.0020545329308262663,5,5
elasticity,0.375,pi,sampled_export_ms,9,0.025214751561482746,0.0013045562389849422,0.001549782652095503,5,5
elasticity,0.375,pi,reconstruction_original_ms,9,0.06974654065238105,0.002030074919895212,0.0011361743196291161,5,5
elasticity,0.375,pi,full_export_original_ms,9,0.023481249809265137,0.001166657674509743,0.0011213653219893933,5,5
elasticity,0.375,pi,reconstruction_fast_ms,9,0.0676729612880283,0.0022562693136318627,0.001782456488886536,5,5
elasticity,0.375,pi,full_export_fast_ms,9,0.023381908734639485,0.0009260091606039924,0.0008674746394239876,5,5
elasticity,0.375,cpg,coarse_ms,9,0.9239572617742751,0.002877351023015782,0.0020065289479603305,5,5
elasticity,0.375,cpg,density_sampling_compensation_ms,9,0.21774984068340725,0.003134175186317689,0.0019688589003622526,5,5
elasticity,0.375,cpg,fine_ms,9,1.0131026307741802,0.0034143286907615924,0.0028531980858714865,5,5
elasticity,0.375,cpg,decode_ms,9,0.02451125118467543,0.001957955705264254,0.0015068351816716235,5,5
elasticity,0.375,cpg,sampled_export_ms,9,0.04116396109263102,0.004733476522930099,0.002709129529056991,5,5
elasticity,0.375,cpg,reconstruction_original_ms,9,2.9388528731134205,0.10413904013144343,0.0502949760191178,5,5
elasticity,0.375,cpg,full_export_original_ms,9,0.0,0.0,0.0,5,5
elasticity,0.375,cpg,reconstruction_fast_ms,9,2.831387519836426,0.10888022329513938,0.032984789673476955,5,5
elasticity,0.375,cpg,full_export_fast_ms,9,0.0,0.0,0.0,5,5
