benchmark,budget,method,component,n,mean_ms,case_std_ms
elasticity,0.5,ca,reported_shared_input_preparation_ms,9,41.461510790718926,3.1256165767035395
elasticity,0.5,ca,gpu_runtime_and_reconstruction_preparation_ms,9,2.381819817754957,0.05153586096593775
elasticity,0.5,ca,first_sampled_call_ms,9,35.28423027859794,1.3621470329583578
elasticity,0.5,ca,graph_setup_ms,9,33.48039587338766,1.3677598419511097
elasticity,0.5,ca,first_full_original_after_sampled_ms,9,5.502147807015313,0.06049498569017476
elasticity,0.5,ca,first_full_fast_after_sampled_ms,9,5.33961339129342,0.13601650547659933
elasticity,0.75,uniform,adapter_increment_ms,9,0.09361820088492499,0.006239958860415162
elasticity,0.75,uniform,case_preparation_ms,9,7.441110081142849,0.2592034796161702
elasticity,0.75,uniform,reported_shared_input_preparation_ms,9,48.778931299845375,3.16129453150884
elasticity,0.75,uniform,gpu_runtime_and_reconstruction_preparation_ms,9,0.18740610943900216,0.009334098089893071
elasticity,0.75,uniform,first_sampled_call_ms,9,22.59286575847202,0.9704815016230138
elasticity,0.75,uniform,graph_setup_ms,9,24.801890883180832,0.9609981522928747
elasticity,0.75,uniform,first_full_original_after_sampled_ms,9,1.9505951139662001,0.028751942592756936
elasticity,0.75,uniform,first_full_fast_after_sampled_ms,9,1.9182273083262973,0.02240418929379957
elasticity,0.75,pi,adapter_increment_ms,9,0.027122596899668377,0.0049554623142598515
elasticity,0.75,pi,case_preparation_ms,9,9.77990362379286,0.29451776397046614
elasticity,0.75,pi,reported_shared_input_preparation_ms,9,51.11818843417697,3.0124719701453206
elasticity,0.75,pi,gpu_runtime_and_reconstruction_preparation_ms,9,0.18060952425003052,0.010446108572608422
elasticity,0.75,pi,first_sampled_call_ms,9,22.25036422411601,0.6468566119815565
elasticity,0.75,pi,graph_setup_ms,9,24.49386732445823,0.6572456615818549
elasticity,0.75,pi,first_full_original_after_sampled_ms,9,2.004506687323252,0.04454641171824301
elasticity,0.75,pi,first_full_fast_after_sampled_ms,9,1.9086144036716886,0.012911768278623895
