benchmark,budget,method,mode,cases,mean_ms,case_std_ms,repeat_std_ms,repeats_per_case_min,repeats_per_case_max,paired_ratio_to_uniform_mean,paired_ratio_to_uniform_std
elasticity,1.0,full,fast,3,1.264435425400734,0.013037914124925757,0.018366077246861984,20,20,1.0,0.0
darcy,0.375,uniform,sampled,9,1.9294967254002888,0.0019928664162770946,0.007188311558226729,20,20,1.0,0.0
darcy,0.375,uniform,original,9,2.039058175351885,0.006901357977824072,0.04689821368992867,5,5,1.0,0.0
darcy,0.375,uniform,fast,9,1.9700446062617831,0.004526158118835828,0.037211605980769474,5,5,1.0,0.0
darcy,0.375,pi,sampled,9,1.994483048717181,0.00285471853451956,0.008783564087659446,20,20,1.0336804459230597,0.0010168847639212334
darcy,0.375,pi,original,9,2.0897312296761408,0.007238283011058152,0.045392870612435604,5,5,1.0248518560687367,0.001443254747038558
darcy,0.375,pi,fast,9,2.021506428718567,0.003423355230934376,0.00803739652119775,5,5,1.0261253847740293,0.0022140472128874137
darcy,0.375,cpg,sampled,9,3.469215085109075,0.00690015201325418,0.015569837799635167,20,20,1.7979896116970653,0.0030513881055726486
darcy,0.375,cpg,original,9,27.619224786758423,0.23777722379519178,0.5029617942826228,5,5,13.545350725269612,0.1400339558750331
darcy,0.375,cpg,fast,9,3.9876831902398004,0.009778918040443388,0.01638142598351423,5,5,2.0241607603169323,0.00342486289977611
darcy,0.375,ca,sampled,9,2.675040728516049,0.0036925146910601857,0.006378774721146419,20,20,1.3863930715627943,0.0013700739371067428
darcy,0.375,ca,original,9,26.67216741376453,0.2711531728018406,0.12943188477247405,5,5,13.080731133959171,0.13648049104739393
darcy,0.375,ca,fast,9,3.1930940018759832,0.009112974515739463,0.016007911319483148,5,5,1.6208231749026152,0.0027238684493736997
darcy,0.5,uniform,sampled,9,2.2119927323526807,0.001339449855912876,0.007321201436867155,20,20,1.0,0.0
darcy,0.5,uniform,original,9,2.3261017269558377,0.00986842453570939,0.04965800964925444,5,5,1.0,0.0
darcy,0.5,uniform,fast,9,2.256462143527137,0.0049115152078480695,0.04277354170298935,5,5,1.0,0.0
darcy,0.5,pi,sampled,9,2.300982673962911,0.002821539643019583,0.004017010286406262,20,20,1.040230710455134,0.0011547223977936977
darcy,0.5,pi,original,9,2.4006315403514438,0.007385110502675043,0.04938059099323719,5,5,1.0320462536845294,0.001983070216588682
darcy,0.5,pi,fast,9,2.329927682876587,0.003461601325130661,0.00608310580759411,5,5,1.0325600617455568,0.001566855313017051
darcy,0.5,cpg,sampled,9,3.7852803038226233,0.01743159911252087,0.009792005526430348,20,20,1.7112530513897655,0.00770113043602756
darcy,0.5,cpg,original,9,37.11764315764109,0.5194464157865359,0.18294104724627175,5,5,15.95686134440712,0.1990202147370176
darcy,0.5,cpg,fast,9,4.309454891416761,0.012704701475419576,0.009824066318629001,5,5,1.909841049354621,0.008355757384470863
